Time-Stamp, Data-Prefix, Data-Size, Information loss, Age, Geschlecht, Inzidenzort, Geburtsdatum, Diagnose_ICD10_Code, Diagnosedatum, Average-Risk, Lowest-Risk, Highest-Risk, Avg EquivClassSize, Max EquivClassSize, NumOfEquivClasses, NumOfRecordsSuppressedRecords, NumOfSuppressedRecords, privacyModel1, privacyModel2
2023-11-21 15:47:12.684, zfkd_, 5000, 0.0012000000000000899, [Age], [Age], [Age], [Age], [Age], [Age], 0.017821385662795355, 0.006493506493506494, 0.3333333333333333, 56, 154, 89, 5000, 6, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.883, zfkd_, 10000, 2.9999999999996696E-4, [Age], [Age], [Age], [Age], [Age], [Age], 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.935, zfkd_, 10000, 2.9999999999996696E-4, [Age], [Age], [Age], [Age], [Age], [Age], 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:12.973, zfkd_, 10000, 2.9999999999996696E-4, [Age], [Age], [Age], [Age], [Age], [Age], 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.003, zfkd_, 10000, 2.9999999999996696E-4, [Age], [Age], [Age], [Age], [Age], [Age], 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.035, zfkd_, 10000, 2.9999999999996696E-4, [Age], [Age], [Age], [Age], [Age], [Age], 0.009102730819245773, 0.0035842293906810036, 0.25, 109, 279, 91, 10000, 3, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.337, zfkd_, 20000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.578, zfkd_, 20000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.605, zfkd_, 20000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.659, zfkd_, 20000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:13.748, zfkd_, 20000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00465, 0.0017123287671232876, 0.16666666666666666, 215, 584, 93, 20000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:14.098, zfkd_, 50000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:14.13, zfkd_, 50000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:14.195, zfkd_, 50000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
2023-11-21 15:47:14.273, zfkd_, 50000, 0.0, [Age], [Age], [Age], [Age], [Age], [Age], 0.00186, 7.304601899196494E-4, 0.0625, 537, 1369, 93, 50000, 0, (0.5)-avg-reidentification-risk, 3-anonymity
